date,flow,pressure
1/29/2023 14:00,148,15
1/29/2023 15:00,136,14.5
1/29/2023 16:00,136,14
1/29/2023 17:00,140,15
1/29/2023 18:00,180,14.5
1/29/2023 19:00,192,14.5
1/29/2023 20:00,156,15
1/29/2023 21:00,148,15
1/29/2023 22:00,148,15
1/29/2023 23:00,148,15
1/30/2023 0:00,116,14.5
1/30/2023 1:00,112,15.5
1/30/2023 2:00,104,16.5
1/30/2023 3:00,112,17
1/30/2023 4:00,108,17
1/30/2023 5:00,112,16.5
1/30/2023 6:00,116,14.5
1/30/2023 7:00,140,14.5
1/30/2023 8:00,156,15
1/30/2023 9:00,160,14.5
1/30/2023 10:00,176,14
1/30/2023 11:00,160,14
1/30/2023 12:00,144,14
1/30/2023 13:00,156,14
1/30/2023 14:00,128,14.5
1/30/2023 15:00,164,15
1/30/2023 16:00,136,15
1/30/2023 17:00,176,14.5
1/30/2023 18:00,164,14
1/30/2023 19:00,152,14
1/30/2023 20:00,152,14
1/30/2023 21:00,148,13.5
1/30/2023 22:00,156,14
1/30/2023 23:00,136,13.5
1/31/2023 0:00,112,14.5
1/31/2023 1:00,124,15
1/31/2023 2:00,124,16
1/31/2023 3:00,104,16.5
1/31/2023 4:00,112,17
1/31/2023 5:00,116,16.5
1/31/2023 6:00,120,14.5
1/31/2023 7:00,136,14.5
1/31/2023 8:00,180,14
1/31/2023 9:00,156,14
1/31/2023 10:00,168,14
1/31/2023 11:00,140,14
1/31/2023 12:00,156,13
1/31/2023 13:00,152,13.5
1/31/2023 14:00,144,14.5
1/31/2023 15:00,156,15
1/31/2023 16:00,132,14.5
1/31/2023 17:00,148,14
1/31/2023 18:00,144,14
1/31/2023 19:00,176,14.5
1/31/2023 20:00,164,14.5
1/31/2023 21:00,156,15
1/31/2023 22:00,152,14
1/31/2023 23:00,120,15
2/1/2023 0:00,120,15
2/1/2023 1:00,112,15.5
2/1/2023 2:00,108,16
2/1/2023 3:00,116,16.5
2/1/2023 4:00,124,16.5
2/1/2023 5:00,120,16.5
2/1/2023 6:00,124,14.5
2/1/2023 7:00,148,14
2/1/2023 8:00,176,14
2/1/2023 9:00,168,14
2/1/2023 10:00,168,14
2/1/2023 11:00,176,13.5
2/1/2023 12:00,184,13
2/1/2023 13:00,172,14
2/1/2023 14:00,152,14.5
2/1/2023 15:00,140,14.5
2/1/2023 16:00,128,14.5
2/1/2023 17:00,144,15
2/1/2023 18:00,144,14.5
2/1/2023 19:00,164,14.5
2/1/2023 20:00,136,14.5
2/1/2023 21:00,144,15
2/1/2023 22:00,140,15
2/1/2023 23:00,148,16
2/2/2023 0:00,100,14.5
2/2/2023 1:00,108,15
2/2/2023 2:00,100,16
2/2/2023 3:00,112,16.5
2/2/2023 4:00,112,16.5
2/2/2023 5:00,108,16.5
2/2/2023 6:00,120,16.5
2/2/2023 7:00,136,15
2/2/2023 8:00,168,15
2/2/2023 9:00,124,15
2/2/2023 10:00,136,14
2/2/2023 11:00,124,14
2/2/2023 12:00,136,14
2/2/2023 13:00,128,14
2/2/2023 14:00,132,14.5
2/2/2023 15:00,116,14.5
2/2/2023 16:00,108,14
2/2/2023 17:00,132,13.5
2/2/2023 18:00,148,13
2/2/2023 19:00,136,13
2/2/2023 20:00,160,13
2/2/2023 21:00,144,13.5
2/2/2023 22:00,124,13.5
2/2/2023 23:00,108,13
2/3/2023 0:00,112,14
2/3/2023 1:00,116,14.5
2/3/2023 2:00,108,15.5
2/3/2023 3:00,104,16
2/3/2023 4:00,116,16.5
2/3/2023 5:00,100,16
2/3/2023 6:00,120,16
2/3/2023 7:00,148,13
2/3/2023 8:00,140,14.5
2/3/2023 9:00,148,15
2/3/2023 10:00,152,14.5
2/3/2023 11:00,140,14.5
2/3/2023 12:00,144,15
2/3/2023 13:00,140,14.5
2/3/2023 14:00,148,15
2/3/2023 15:00,136,15
2/3/2023 16:00,136,14.5
2/3/2023 17:00,124,14
2/3/2023 18:00,156,14
2/3/2023 19:00,168,14.5
2/3/2023 20:00,128,14.5
2/3/2023 21:00,144,14.5
2/3/2023 22:00,136,14
2/3/2023 23:00,112,13
2/4/2023 0:00,116,14.5
2/4/2023 1:00,104,15
2/4/2023 2:00,120,15.5
2/4/2023 3:00,100,16
2/4/2023 4:00,112,16.5
2/4/2023 5:00,104,16.5
2/4/2023 6:00,116,16
2/4/2023 7:00,124,14
2/4/2023 8:00,132,14
2/4/2023 9:00,156,13.5
2/4/2023 10:00,152,14.5
2/4/2023 11:00,148,14
2/4/2023 12:00,136,14
2/4/2023 13:00,144,14.5
2/4/2023 14:00,156,14.5
