Thời gian,Lưu lượng(m3/h)(*),Áp lực(m),Tổng Thuận(m3),Tổng Nghịch(m3),Áp Lực (bar),Unnamed: 6
1/29/2023 14:00,148,15.0,"2,763,161","6,615",1.5,2901202314
1/29/2023 15:00,136,14.5,"2,763,309","6,615",1.45,2901202315
1/29/2023 16:00,136,14.0,"2,763,448","6,615",1.4,2901202316
1/29/2023 17:00,140,15.0,"2,763,590","6,615",1.5,2901202317
1/29/2023 18:00,180,14.5,"2,763,742","6,615",1.45,2901202318
1/29/2023 19:00,192,14.5,"2,763,910","6,615",1.45,2901202319
1/29/2023 20:00,156,15.0,"2,764,075","6,616",1.5,2901202320
1/29/2023 21:00,148,15.0,"2,764,230","6,616",1.5,2901202321
1/29/2023 22:00,148,15.0,"2,764,368","6,616",1.5,2901202322
1/29/2023 23:00,148,15.0,"2,764,514","6,616",1.5,2901202323
1/30/2023 0:00,116,14.5,"2,764,637","6,616",1.45,3001202300
1/30/2023 1:00,112,15.5,"2,764,754","6,616",1.55,3001202301
1/30/2023 2:00,104,16.5,"2,764,863","6,616",1.65,3001202302
1/30/2023 3:00,112,17.0,"2,764,978","6,616",1.7,3001202303
1/30/2023 4:00,108,17.0,"2,765,093","6,616",1.7,3001202304
1/30/2023 5:00,112,16.5,"2,765,211","6,617",1.65,3001202305
1/30/2023 6:00,116,14.5,"2,765,331","6,617",1.45,3001202306
1/30/2023 7:00,140,14.5,"2,765,468","6,617",1.45,3001202307
1/30/2023 8:00,156,15.0,"2,765,618","6,617",1.5,3001202308
1/30/2023 9:00,160,14.5,"2,765,769","6,617",1.45,3001202309
1/30/2023 10:00,176,14.0,"2,765,925","6,617",1.4,3001202310
1/30/2023 11:00,160,14.0,"2,766,090","6,617",1.4,3001202311
1/30/2023 12:00,144,14.0,"2,766,234","6,617",1.4,3001202312
1/30/2023 13:00,156,14.0,"2,766,394","6,618",1.4,3001202313
1/30/2023 14:00,128,14.5,"2,766,531","6,619",1.45,3001202314
1/30/2023 15:00,164,15.0,"2,766,681","6,619",1.5,3001202315
1/30/2023 16:00,136,15.0,"2,766,831","6,619",1.5,3001202316
1/30/2023 17:00,176,14.5,"2,766,989","6,620",1.45,3001202317
1/30/2023 18:00,164,14.0,"2,767,140","6,620",1.4,3001202318
1/30/2023 19:00,152,14.0,"2,767,294","6,621",1.4,3001202319
1/30/2023 20:00,152,14.0,"2,767,449","6,621",1.4,3001202320
1/30/2023 21:00,148,13.5,"2,767,595","6,621",1.35,3001202321
1/30/2023 22:00,156,14.0,"2,767,738","6,621",1.4,3001202322
1/30/2023 23:00,136,13.5,"2,767,876","6,621",1.35,3001202323
1/31/2023 0:00,112,14.5,"2,767,994","6,621",1.45,3101202300
1/31/2023 1:00,124,15.0,"2,768,117","6,621",1.5,3101202301
1/31/2023 2:00,124,16.0,"2,768,235","6,621",1.6,3101202302
1/31/2023 3:00,104,16.5,"2,768,345","6,621",1.65,3101202303
1/31/2023 4:00,112,17.0,"2,768,456","6,621",1.7,3101202304
1/31/2023 5:00,116,16.5,"2,768,575","6,621",1.65,3101202305
1/31/2023 6:00,120,14.5,"2,768,690","6,621",1.45,3101202306
1/31/2023 7:00,136,14.5,"2,768,824","6,621",1.45,3101202307
1/31/2023 8:00,180,14.0,"2,768,987","6,621",1.4,3101202308
1/31/2023 9:00,156,14.0,"2,769,151","6,622",1.4,3101202309
1/31/2023 10:00,168,14.0,"2,769,321","6,622",1.4,3101202310
1/31/2023 11:00,140,14.0,"2,769,475","6,622",1.4,3101202311
1/31/2023 12:00,156,13.0,"2,769,631","6,622",1.3,3101202312
1/31/2023 13:00,152,13.5,"2,769,779","6,623",1.35,3101202313
1/31/2023 14:00,144,14.5,"2,769,919","6,623",1.45,3101202314
1/31/2023 15:00,156,15.0,"2,770,078","6,623",1.5,3101202315
1/31/2023 16:00,132,14.5,"2,770,233","6,623",1.45,3101202316
1/31/2023 17:00,148,14.0,"2,770,387","6,624",1.4,3101202317
1/31/2023 18:00,144,14.0,"2,770,540","6,624",1.4,3101202318
1/31/2023 19:00,176,14.5,"2,770,713","6,626",1.45,3101202319
1/31/2023 20:00,164,14.5,"2,770,882","6,627",1.45,3101202320
1/31/2023 21:00,156,15.0,"2,771,044","6,627",1.5,3101202321
1/31/2023 22:00,152,14.0,"2,771,194","6,628",1.4,3101202322
1/31/2023 23:00,120,15.0,"2,771,333","6,628",1.5,3101202323
